Kategori,Sampah Dikumpulkan (Kg),Sampah Dikelola (Kg),Sampah Sisa (Kg)
KERTAS,75854007.81,2644376.91,73209630.9
PLASTIK,35480235.06,1996418.71,33483816.35
LOGAM,22510516.53,421365.67,22089150.85
SISA MAKANAN,1777672.64,1632742.59,144930.05
SAMPAH LAINNYA YANG MUDAH TERURAI OLEH PROSES ALAM,795313.14,776705.42,18607.72
KACA,408977.04,120606.29,288370.75
SERASAH (DAUN KERING),40835.54,26294.2,14541.34
KARET,40140.78,32737.11,7403.67
PRODUK RUMAH TANGGA YANG MENGANDUNG B3 DAN/ATAU LIMBAH B3 YANG TIDAK DIGUNAKAN LAGI,18435.34,12758.14,5677.2
TEKSTIL,15368.14,5422.6,9945.54
PRODUK DAN/ATAU KEMASAN LAINNYA YANG MENGANDUNG B3 DAN/ATAU LIMBAH B3 YANG TIDAK DIGUNAKAN LAGI,8131.86,7192.79,93907.0
BARANG ELEKTRONIK YANG TIDAK DIGUNAKAN LAGI,6554.62,2543.15,4011.47
BEKAS KEMASAN PRODUK YANG MENGANDUNG B3 DAN/ATAU LIMBAH B3,2865.52,1558.2,1307.32
