"area","year_added","unit","value"
Indonesia,1961,"1000 Head",60000
Indonesia,1962,"1000 Head",60500
Indonesia,1963,"1000 Head",61000
Indonesia,1964,"1000 Head",62000
Indonesia,1965,"1000 Head",62500
Indonesia,1966,"1000 Head",63000
Indonesia,1967,"1000 Head",65100
Indonesia,1968,"1000 Head",61369
Indonesia,1969,"1000 Head",62476
Indonesia,1970,"1000 Head",63358
Indonesia,1971,"1000 Head",75640
Indonesia,1972,"1000 Head",82627
Indonesia,1973,"1000 Head",82108
Indonesia,1974,"1000 Head",102100
Indonesia,1975,"1000 Head",98475
Indonesia,1976,"1000 Head",102382
Indonesia,1977,"1000 Head",107493
Indonesia,1978,"1000 Head",114987
Indonesia,1979,"1000 Head",121358
Indonesia,1980,"1000 Head",149250
Indonesia,1981,"1000 Head",182908
Indonesia,1982,"1000 Head",194209
Indonesia,1983,"1000 Head",218597
Indonesia,1984,"1000 Head",306954
Indonesia,1985,"1000 Head",331159
Indonesia,1986,"1000 Head",375475
Indonesia,1987,"1000 Head",426556
Indonesia,1988,"1000 Head",448336
Indonesia,1989,"1000 Head",494803
Indonesia,1990,"1000 Head",571163
Indonesia,1991,"1000 Head",663759
Indonesia,1992,"1000 Head",735773
Indonesia,1993,"1000 Head",805788
Indonesia,1994,"1000 Head",929560
Indonesia,1995,"1000 Head",1008444
Indonesia,1996,"1000 Head",1095375
Indonesia,1997,"1000 Head",972832
Indonesia,1998,"1000 Head",645518
Indonesia,1999,"1000 Head",622531
Indonesia,2000,"1000 Head",859497
Indonesia,2001,"1000 Head",960164
Indonesia,2002,"1000 Head",1218406
Indonesia,2003,"1000 Head",1204310
Indonesia,2004,"1000 Head",1149374
Indonesia,2005,"1000 Head",1174933
Indonesia,2006,"1000 Head",1188814
Indonesia,2007,"1000 Head",1275400
Indonesia,2008,"1000 Head",1253431
Indonesia,2009,"1000 Head",1387760
Indonesia,2010,"1000 Head",1349626
Indonesia,2011,"1000 Head",1566967
Indonesia,2012,"1000 Head",1657684
Indonesia,2013,"1000 Head",1793022
Indonesia,2014,"1000 Head",1865126
Indonesia,2015,"1000 Head",1968641
Indonesia,2016,"1000 Head",2088079
Indonesia,2017,"1000 Head",3481181
Indonesia,2018,"1000 Head",3700618
Indonesia,2019,"1000 Head",3808057
Indonesia,2020,"1000 Head",3570142
Indonesia,2021,"1000 Head",3195600
Indonesia,2022,"1000 Head",3482427
