"country_code","country","year_added","sdg_index_score","goal_1_score","goal_2_score","goal_3_score","goal_4_score","goal_5_score","goal_6_score","goal_7_score","goal_8_score","goal_9_score","goal_10_score","goal_11_score","goal_12_score","goal_13_score","goal_14_score","goal_15_score","goal_16_score","goal_17_score"
IDN,Indonesia,"2000",60.0,59.2,62.9,51.8,82.7,51.8,57.0,38.0,68.3,14.9,90.0,56.5,90.5,94.0,53.0,44.7,63.2,49.5
IDN,Indonesia,"2001",60.0,59.2,63.0,52.2,82.7,52.4,57.6,37.0,68.3,14.8,88.0,56.7,90.5,93.9,53.0,44.5,63.2,52.2
IDN,Indonesia,"2002",60.0,59.2,63.4,51.6,82.4,52.9,58.2,38.0,68.0,14.8,79.0,57.4,90.3,93.8,53.0,44.3,63.2,51.3
IDN,Indonesia,"2003",60.0,59.2,63.6,51.8,83.1,53.4,58.8,38.0,68.0,14.9,79.0,57.6,90.3,93.6,54.0,44.1,63.3,52.4
IDN,Indonesia,"2004",60.0,59.2,56.5,52.4,83.1,55.5,59.4,39.0,67.6,14.9,76.0,58.3,90.3,93.6,55.0,47.4,63.3,52.3
IDN,Indonesia,"2005",60.0,59.2,56.9,52.9,81.3,55.9,60.0,39.0,67.3,15.1,75.0,58.2,90.2,93.6,56.0,47.2,63.3,52.5
IDN,Indonesia,"2006",60.0,59.2,57.0,53.4,81.3,56.3,60.6,42.0,67.5,15.2,71.0,58.8,90.1,93.7,58.0,47.2,63.3,52.7
IDN,Indonesia,"2007",60.0,59.2,56.6,54.4,85.0,53.9,61.2,43.0,67.2,15.4,66.0,64.7,89.9,93.4,58.0,47.0,63.2,53.3
IDN,Indonesia,"2008",61.0,59.2,57.8,54.8,84.8,54.6,61.8,44.0,67.7,15.7,68.0,63.0,89.9,93.6,58.0,46.9,62.3,54.0
IDN,Indonesia,"2009",61.0,59.2,58.6,56.0,87.5,58.0,62.5,46.0,68.3,15.7,68.0,64.4,89.8,93.4,58.0,47.7,62.1,51.2
IDN,Indonesia,"2010",62.0,59.2,61.4,59.0,88.7,58.5,63.1,49.0,68.6,18.8,64.0,66.1,89.7,93.1,59.0,47.5,62.0,49.0
IDN,Indonesia,"2011",61.0,61.6,62.1,58.8,89.3,58.9,63.7,49.0,68.8,19.5,50.0,64.4,89.5,92.5,59.0,47.3,63.4,50.5
IDN,Indonesia,"2012",62.0,62.3,63.4,60.1,91.6,59.9,64.3,52.0,69.2,20.0,50.0,65.8,89.5,92.4,59.0,47.2,64.8,51.0
IDN,Indonesia,"2013",63.0,66.5,62.9,61.5,90.2,60.0,64.9,57.0,69.3,20.3,49.0,66.4,89.6,92.7,60.0,47.7,63.9,50.7
IDN,Indonesia,"2014",64.0,69.0,64.1,62.6,90.2,59.4,65.5,59.0,72.0,24.6,51.0,65.2,89.5,92.9,61.0,47.5,64.2,50.5
IDN,Indonesia,"2015",64.0,70.6,64.5,62.7,93.3,59.5,66.1,58.0,73.6,26.5,50.0,68.6,89.6,92.9,62.0,47.6,63.0,49.9
IDN,Indonesia,"2016",65.0,74.3,63.8,63.9,92.8,60.2,66.8,60.0,73.7,24.9,55.0,70.1,89.5,92.9,62.0,47.6,61.9,49.7
IDN,Indonesia,"2017",67.0,77.3,63.5,64.6,92.5,61.9,67.6,62.0,75.9,39.0,57.0,71.5,89.4,92.7,62.0,47.5,65.3,48.7
IDN,Indonesia,"2018",68.0,79.7,66.2,65.7,92.2,62.2,68.4,63.0,75.5,42.5,59.0,74.7,89.3,92.5,63.0,46.8,64.8,50.6
IDN,Indonesia,"2019",69.0,81.5,66.1,66.9,92.2,61.5,69.2,64.0,76.1,44.6,62.0,74.5,89.2,92.2,69.0,46.7,66.1,49.8
IDN,Indonesia,"2020",69.0,82.7,66.3,65.2,92.2,63.3,70.1,64.0,76.5,48.1,62.0,70.9,89.2,92.5,69.0,46.5,65.9,51.0
IDN,Indonesia,"2021",70.0,83.2,66.5,64.5,92.2,63.7,70.1,64.0,77.1,49.1,60.0,74.9,89.7,92.5,69.0,51.8,67.4,52.3
IDN,Indonesia,"2022",70.0,86.1,66.6,64.8,92.2,63.8,70.1,64.0,77.4,50.7,60.0,75.3,89.7,92.5,69.0,51.4,64.7,52.4
IDN,Indonesia,"2023",70.16289734,86.0555,66.61325,64.84042857,92.18425,63.7675,70.082,64.45825,77.36285714,50.664,60.9145,75.33925,89.69828571,92.49766667,69.75666667,51.4342,64.7139,52.38675
